Rk,Player,WAR/pos,WAA/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
26,Mordecai Brown\brownmo01,1.1,1.1,1903,1916,26-39,493,1244,1143,93,235,20,11,2,73,44,,199,1,49,,,8,0,.206,.236,.248,.483,*1/H798,STL-CHC-CIN-BTT-SLM-CHI
27,Jesse Burkett\burkeje01,62.8,30.6,1890,1905,21-36,2067,9629,8426,1720,2850,320,182,75,952,1029,,613,75,90,,,389,,.338,.415,.446,.861,*79/18645,NYG-CLV-STL-SLB-BOS
28,Roy Campanella\camparo01,35.6,17.1,1948,1957,26-35,1215,4816,4205,627,1161,178,18,242,856,533,113,501,30,30,18,143,25,20,.276,.360,.500,.860,*2/H,BRO
29,Rod Carew\carewro01,81.3,46.2,1967,1985,21-39,2469,10550,9315,1424,3053,445,112,92,1015,1018,144,1028,25,128,64,216,353,187,.328,.393,.429,.822,34H/D657,MIN-CAL
30,Max Carey\careyma01,54.5,21.7,1910,1929,20-39,2476,10772,9363,1545,2665,419,159,70,802,1040,,695,77,290,,,738,109,.285,.361,.386,.747,*879/H,PIT-BRO
31,Gary Carter\cartega01,70.1,40.1,1974,1992,20-38,2296,9019,7971,1025,2092,371,31,324,1225,848,106,997,68,33,99,180,39,42,.262,.335,.439,.773,*29H/375,MON-NYM-SFG-LAD
32,Orlando Cepeda\cepedor01,50.1,18.1,1958,1974,20-36,2124,8699,7927,1131,2351,417,27,379,1365,588,154,1169,102,4,74,218,142,80,.297,.350,.499,.849,*37D/H95,SFG-STL-ATL-OAK-BOS-KCR
33,Frank Chance\chancfr01,45.8,28.4,1898,1914,21-37,1288,5135,4299,798,1274,200,79,20,596,556,,320,137,111,,,403,0,.296,.394,.394,.788,*32/9H78,CHC-NYY
34,Jack Chesbro\chesbja01,0.2,0.2,1899,1909,25-35,393,1155,1103,85,217,37,13,5,82,25,,269,2,21,,,5,,.197,.216,.267,.483,*1/39H,PIT-NYY-BOS
35,Fred Clarke\clarkfr01,67.8,35.2,1894,1915,21-42,2246,9860,8584,1622,2678,361,220,67,1015,875,,511,154,225,,,509,0,.312,.386,.429,.814,*7/H9685,LOU-PIT
36,John Clarkson\clarkjo01,-1.8,-2.0,1882,1894,20-32,546,2060,1974,254,432,73,26,24,232,81,,382,1,4,,,31,,.219,.250,.319,.569,*1/97538,WOR-CHC-BSN-CLV
37,Roberto Clemente\clemero01,94.8,57.2,1955,1972,20-37,2433,10212,9454,1416,3000,440,166,240,1305,621,167,1230,35,36,66,275,83,46,.317,.359,.475,.834,*9/H8745,PIT
38,Ty Cobb\cobbty01,151.0,101.9,1905,1928,18-41,3034,13103,11440,2245,4189,724,295,117,1944,1249,,680,94,292,,,897,212,.366,.433,.512,.944,*89/H73415,DET-PHA
39,Mickey Cochrane\cochrmi01,49.1,26.5,1925,1937,22-34,1482,6211,5169,1041,1652,333,64,119,830,857,,217,29,151,,,64,45,.320,.419,.478,.897,*2/H7,PHA-DET
40,Eddie Collins\collied01,123.9,78.8,1906,1930,19-43,2826,12087,9949,1821,3315,438,187,47,1299,1499,,467,77,512,,,741,195,.333,.424,.429,.853,*4H/69875,PHA-CHW
